uniq_id,sku,name_title,description,list_price,sale_price,category,category_tree,average_product_rating,product_url,product_image_urls,brand,total_number_reviews,reviews
b6c0b6bea69c722939585baeac73c13d,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,alfred dunner,jcpenney|women|alfred dunner,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1002110079&&_dyncharset=UTF-8&urlState=/women/shop-brands/alfred-dunner/yellow/_/N-gkmp33Z132/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
93e5272c51d8cce02597e3ce67b7ad0a,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,alfred dunner,jcpenney|women|alfred dunner,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1002310017&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-brands/alfred-dunner/10-petite/_/N-gkqzcxZ1z1407s/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
013e320f2f2ec0cf5b3ff5418d688528,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,view all,jcpenney|women|view all,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1004110004&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-brands/alfred-dunner/view-all/16/_/N-gltk8kZ9m/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
505e6633d81f2cb7400c0cfa0394c427,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,view all,jcpenney|women|view all,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1004110004&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-brands/alfred-dunner/view-all/yellow/_/N-gltk8kZ132/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
d969a8542122e1331e304b09f81a83f6,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,view all,jcpenney|women|view all,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat100630295&&_dyncharset=UTF-8&urlState=/women/specialty-sizing/petites/shop-clothing/shorts-capris/view-all/green/_/N-1nwutzZ130/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
cf73bb2bd93bbd6e1bdf48d399992270,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,"You'll return to our Alfred Dunner pull-on capris again and again when you want an updated, casual look and all the comfort you love.   elastic waistband approx. 19-21"" inseam slash pockets polyester washable imported      ",41.09,24.16,deals,jcpenney|shops|deals,4.7 out of 5,http://www.jcpenney.com/alfred-dunner-essential-pull-on-capri-pant/prod.jump?ppId=pp5006380337&catId=cat1006990007&&_dyncharset=UTF-8&urlState=/shops/deals/8-petite/_/N-gnjagnZ1z1407t/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1228201517142050M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Alfred Dunner,12,"{""review""=>[{""review_1""=>""You never have to worry about the fit...Alfred Dunner clothing sizes are true to size and fits perfectly. Great value for the money.""}, {""review_2""=>""Good quality fabric. Perfect fit. Washed very well no iron.""}, {""review_3""=>""I do not normally wear pants or capris that have an elastic waist, but I decided to try these since they were on sale and I loved the color. I was very surprised at how comfortable they are and wear really well even wearing all day. I will buy this style again!""}, {""review_4""=>""I love these capris! They fit true to size and are so comfortable to wear. I am planning to order more of them.""}, {""review_5""=>""This product is very comfortable and the fabric launders very well""}, {""review_6""=>""I did not like the fabric. It is 100% polyester I thought it was different.I bought one at the store apprx two monts ago, and I thought it was just like it""}, {""review_7""=>""What a great deal. Beautiful Pants. Its more than I expected.""}, {""review_8""=>""Alfred Dunner has great pants, good fit and very comfortable""}]}"
02d3a51e6d8d16408f69f74c9c39f171,pp5006460431,Baby B’gosh® 2-pc. Embroidered Babydoll Set - Baby Girls newborn-24m,"Pretty florals and ruffles lend charm to this darling embroidered top and bloomers set. includes cap-sleeve top and bloomers top: embroidered yoke, fully lined, back-button closure bottom: tiered ruffle, cinched waist 100% cotton washable imported ",41.09,20.53,clothing sets,jcpenney|baby|clothing sets,4.9 out of 5,http://www.jcpenney.com/baby-b-gosh-2-pc-embroidered-babydoll-set-baby-girls-newborn-24m/prod.jump?ppId=pp5006460431&catId=cat1004200029&&_dyncharset=UTF-8&urlState=/baby/shop-clothing/clothing-sets/newborn-3-months/_/N-glvhp9Z1z13vpj/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0113201617031468M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Oshkosh,10,"{""review""=>[{""review_1""=>""I bought this 2 piece outfit for my granddaughter. It's really cute and perfect for the summer. The top, although made of cotton is a bit on the thin side and so are the bottoms. The colors in them are pretty. I can't wait to see her in this outfit!!""}, {""review_2""=>""This lil outfit is cute as can be! I purchased a size 24 months for our petite 4 year old granddaughter. Fits great! Excellent quality as always...""}, {""review_3""=>""Bought this for my daughter, I have not yet put it on but looks like will fit just right..as one review sayd shirt has no stretch but bottom does my daughter is 2months old but gaining weight so I'm sure will fit just fine once I put this on her.i love carters clothing aswell they alwys havr cute styles and the durability of material they last long.""}, {""review_4""=>""It is a cute outfit! I had my daughters Easter pictures done with this outfit on. I would say if your baby is more on the chunky size I would say size up the blouse has no stretch. But the bloomers had stretch.""}, {""review_5""=>""Quality material, nice bright floral design. I feel like you have to go a size up with oshkosh, but still really cute none the less.""}, {""review_6""=>""I absolutely love this outfit. It is so cute and girly. It is one of my Oshkosh favorites.""}, {""review_7""=>""I absolutely love this outfit! It's light and airy perfect for summer. It is sweet and girly.. Great outfit!""}, {""review_8""=>""Exactly what I would expect from a baby bgosh outfit. Beautiful and simple. This is a gift for a baby shower but makes me miss when my little one fit in the baby bgosh.""}]}"
39edde5d2f290778f3bb3709cd743e35,pp5006460450,Baby B’gosh® Anchor Print Bodysuit - Baby Boys newborn-24m,"This soft, all-cotton bodysuit takes the guesswork out of dressing him by perfectly layering with his jeans, khakis and shorts. all-over anchor print short sleeves nickel-free snaps on reinforced panel jersey knit fabric 100% cotton washable imported",19.34,9.66,oshkosh b'gosh,jcpenney|baby|oshkosh b'gosh,4.3 out of 5,http://www.jcpenney.com/baby-b-gosh-anchor-print-bodysuit-baby-boys-newborn-24m/prod.jump?ppId=pp5006460450&catId=cat1003950044&&_dyncharset=UTF-8&urlState=/baby/shop-brands/oshkosh-b-gosh/18-months/_/N-glq4t8Z8a/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0113201617031541M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Oshkosh,6,"{""review""=>[{""review_1""=>""Great onesie. Material is soft and feels comfortable. Cute pattern. Fits well as sized. Great for summer!""}, {""review_2""=>""extremely cute!. Nice fabric and design. A little wider than others""}, {""review_3""=>""I like the cotton fabric of this shirt. You can't see in the photo that the fabric is not just smooth cotton knit. It is slightly textured, which is nice. Also, you can't tell from the picture that some of the circle tops on the anchors are filled in red so it is not just blue and white as I expected. The red accents make the design more interesting. I also like that the shirt is off-white not bright white. Very nice product.""}, {""review_4""=>""I love the design on this anchor shirt but it is way too wide. If it was like the other shirts i bought from ohkosh it would give it 5 stars.""}, {""review_5""=>""I bought this for next spring/summer. It's very soft and washed up great. Although it's hard to see in the picture, it has some red coloring in the anchors. I gave it only four stars because it seems to fit a little wide and I prefer more long and lean styles for my son's long body.""}, {""review_6""=>""This was perfect for my grandson! It matches his nursery theme and is soft and comfortable for him.""}]}"
fa88e24712ccd62fb48b3784621c685b,pp5006460447,Baby B’gosh® Cap-Sleeve Floral Dress - Baby Girls newborn-24m,A cheerful floral print energizes this all-cotton dress and matching diaper cover. includes matching diaper cover cap sleeves pin-tuck details back button closure embroidered picot hem fully lined 100% cotton washable imported,41.09,20.53,baby girl clothes 0-24 months,jcpenney|baby|baby girl clothes 0-24 months,5 out of 5,http://www.jcpenney.com/baby-b-gosh-cap-sleeve-floral-dress-baby-girls-newborn-24m/prod.jump?ppId=pp5006460447&catId=cat100260041&&_dyncharset=UTF-8&urlState=/baby/shop-by-size/baby-girl-clothes-0-24-months/newborn-3-months/_/N-1nox55Z1z13vpj/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP0113201617031519M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Oshkosh,,"{""review""=>{""review_1""=>""Purchase as a gift. It was a good value because it was on sale and then an additional coupon was applied. Cute.""}}"
dc99dc23e9e9caea26ccc3838bbcdc18,pp5006333239,Dickies® Womens Slim Stretch Bootcut Pants - Short,These jeans provide a good looking fit with the sturdy design that you've come to expect from Dickies. brushed fabric for extra softness contour waistband with stretch interlining prevents gapping in the back slim fit hook-and-eye closure provides a smooth clean front midrise bootcut flat front 4-pocket styling two back welt pockets cotton/spandex washable imported,60.43,44.71,view all brands,jcpenney|men|view all brands,2 out of 5,http://www.jcpenney.com/dickies-womens-slim-bootcut-pants-short/prod.jump?ppId=pp5006333239&catId=cat100420020&&_dyncharset=UTF-8&urlState=/men/shop-clothing/workwear-scrubs/shop-brands/view-all-brands/stain-resistant/_/N-1nscl0Z1z140kh/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/DP1211201517034663M.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Dickies,,"{""review""=>{""review_1""=>""This item wasn't what I want the pants fit great but the leg button was not what i want it to be""}}"
0a7f6850453e72d2e34ad6ec8bec962b,1796809,Dingo® Mens Oil-Tanned Leather Motorcycle Boots,"These tough motorcycle boots combine style and function that's great for both western and motorcycle tastes.  Motorcycle Boots:oil-tanned leather upper harness strap with ""O"" ring 11"" shaft height comfort cushion insole snoot toe oil-tanned leather oil-resistant rubber sole",,176.46,all boots,jcpenney|shoes|all boots,,http://www.jcpenney.com/dingo-mens-oil-tanned-leather-motorcycle-boots/prod.jump?ppId=1796809&catId=cat100290028&&_dyncharset=UTF-8&urlState=/shoes/all-boots/red/_/N-1npka4Z135/cat.jump,"http://s7d9.scene7.com/is/image/JCPenney/0900631B817B754EM.tif?hei=380&amp;wid=380&op_usm=.4,.8,0,0&resmode=sharp2&op_usm=1.5,.8,0,0&resmode=sharp",Dingo,,
